id_expediente,id_contrato,id_renglon,marco_legal,tipo_proceso,fecha_sancion_normativa,fecha_publicacion_normativa,fecha_inicio_contrato,fecha_fin_contrato,item,descripcion_item,precio_unitario_item,moneda_precio_unitario_item,cantidad_item,unidad_medida_item,monto_total_renglon,monto_total_contrato,moneda_monto_contrato,monto_total_proceso,unidad_ejecutora,organismo_normativa,proveedor_razon_social,proveedor_cuit,URL
2020-04293733-MSGC,0.0,1,433/16,gasto,2020-02-03,2020-02-06,01-12-2019,31-12-2019,Limpieza areas verdes,Servicio de Limpieza Integral de Áreas Verdes,,,,,99980.0,99980.0,ARS,99980.0,Instituto de RehabilitaciónPsicofísica,SUBSECRETARÍA ATENCIÓN HOSPITALARIA,la mantovana de servicios generales s.a,,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/506843
EX-2020-04296725-GCABA-MSGC,1.0,1,433/16,gasto,2020-02-03,2020-02-06,01-12-2019,31-12-2019,limpieza general,Servicio de Limpieza General e Integral,,,,,1269164.0,1269164.0,ARS,1269164.0,Instituto de Rehabilitación Psicofísica,SUBSECRETARÍA ATENCIÓN HOSPITALARIA,la mantovana de servicios generales s.a,,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/506845
EX-2020-4667255-GCABA-HGACD,2.0,1,433/16,gasto,2020-02-03,2020-02-07,,,tubuladura con canula,Adquisición S/ Tubuladura con Cánula paraAspiración - S/ Tubuladura de PVC,26321.2,ARS,1.0,u,26321.2,26321.2,ARS,26321.2,HOSPITAL GENERAL DE AGUDOS CARLOS G. DURAND,HOSPITAL GENERAL DE AGUDOS CARLOS G. DURAND,storing insumos medicos s.r.l,,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/506949
04995144-GCABA-ASINF-2020,4.0,1.0,433/16,gasto,2020-02-04,2020-02-07,,,Servicios de Asignación deDirecciones IP y Servicios Conexos,Servicios de Asignación deDirecciones IP y Servicios Conexos,600.0,USD,1.0,u,600.0,726.0,USD,726.0,DIRECCIÓN GENERAL DE INFRAESTRUCTURA - ASINF,DIRECCIÓN GENERAL DE INFRAESTRUCTURA - ASINF,registro de direcciones de internet para america latina ycaribe - lacnic,TIN 215750090015,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/506938
04995144-GCABA-ASINF-2020,4.0,2.0,433/16,gasto,2020-02-04,2020-02-07,,,I.V.A. por Servicios Digitalesrealizadas por sujetos del exterio,I.V.A. por Servicios Digitalesrealizadas por sujetos del exterio,126.0,USD,1.0,u,126.0,726.0,USD,726.0,DIRECCIÓN GENERAL DE INFRAESTRUCTURA - ASINF,DIRECCIÓN GENERAL DE INFRAESTRUCTURA - ASINF,registro de direcciones de internet para america latina ycaribe - lacnic,TIN 215750090015,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/506938
EE-2020-05317074-GCABA-HBR,6.0,1.0,433/16,gasto,2020-02-04,2020-02-10,,,reparación de MonitorMultiparametrico,Prestación del servicio de reparación de MonitorMultiparametrico para el servicio de unidad coronaria,229652.0,ARS,1.0,u,229652.0,229652.0,ARS,229652.0,HOSPITAL BERNARDINO RIVADAVIA,HOSPITAL BERNARDINO RIVADAVIA,agimeds.r.l,,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/507105
EE-2020-05316827-GCABA-HBR,7.0,1.0,433/16,gasto,2020-02-05,2020-02-07,01-09-2019,31-10-2019,servicio de sistemas informáticos,"Prestación del servicio de sistemas informáticos""para el servicio de Laboratorio",,,2.0,mes,64900.0,64900.0,ARS,64900.0,HOSPITAL BERNARDINO RIVADAVIA,HOSPITAL BERNARDINO RIVADAVIA,wm argentina s.a,,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/506959
2020-5076149-GCABA-HGAPP,8.0,1.0,433/16,gasto,2020-02-05,2020-02-20,,,Protomplex total tim 4,Protomplex total Tim4 (6000UI) Traz Baxter c/frio Vto 11/2020 12/2020,,,4.0,u,79392.0,79392.0,ARS,79392.0,HOSPITAL GENERAL DE AGUDOS PARMENIO PIÑERO,HOSPITAL GENERAL DE AGUDOS PARMENIO PIÑERO,dnm farma s.a,30-71013847-4,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/508549
EX-2020-4511706-GCABA-HGACD,9.0,1.0,433/16,gasto,2020-02-05,2020-03-06,,,Anticuerpos antigenos leucocitarios,Especificidad de Anticuerpos Antígenos LeucocitariosHumanos,,,,,1252595.0,1252595.0,ARS,1252595.0,,HOSPITAL GENERAL DE AGUDOS CARLOS G. DURAND,tecnolab s.a,,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/510404
EE-2019-31277822-DGRFISS,10.0,1.0,433/16,gasto,2020-02-06,2020-02-11,,,Tablero y grupo electrogeno,"""Provisión e Instalación de Tableros Eléctricos y Grupo Electrógeno-CeSAC N° 14""",,,,,7220113.63,7220114.0,ARS,7220114.0,,SUBSECRETARIA DE ADMINISTRACION DEL SISTEMA DE SALUD,kir s.r.l,,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/507366
EE-2018-32898290-DGCTFS,12.0,1.0,433/16,gasto,2020-02-06,2020-02-17,01-11-2019,30-11-2019,Acompañante Terapéutico,Acompañante Terapéutico para variospacientes,,,,,,1001728.0,ARS,2360141.0,,DIRECCIÓN GENERAL ADMINISTRATIVA CONTABLE Y PRESUPUESTO,grupo aries salud s.a,,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/508024
EE-2019-16078123-DGCTFS,13.0,1.0,433/16,gasto,2020-02-06,2020-02-17,01-11-2019,30-11-2019,"""Servicio de Cuidador Domiciliario""","""Servicio de Cuidador Domiciliario"" para pacientesbeneficiarios del Programa Incluir Salud",,,,,677800.0,677800.0,ARS,3237800.0,,DIRECCIÓN GENERAL ADMINISTRATIVA CONTABLE Y PRESUPUESTO,grupo aries salud s.a,,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/508025
EE-2020-01586904-GCABA-MSGC,16.0,1.0,433/16,gasto,2020-02-07,2020-02-13,01-12-2019,31-12-2019,Limpieza General,Servicio de Limpieza General e Integral,,,,,4540600.0,4540600.0,ARS,4540600.0,,MINISTERIO DE SALUD,la mantovana de servicios generales s.a,,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/507792
EE-2019-24869368-DGCTFS,17.0,1.0,433/16,gasto,2020-02-07,2020-02-13,01-12-2019,31-12-2019,Sesion de Hemodiálisis Crónica (HDC),"""Servicio de Diálisis para pacientesINCLUIR SALUD, cápita CABA""",4500.0,ARS,1.0,sesión,,1851228.16,ARS,1851228.16,,MINISTERIO DE SALUD,diaverum argentina s.a,,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/507793
EE-2019-24869368-DGCTFS,17.0,2.0,433/16,gasto,2020-02-07,2020-02-13,01-12-2019,31-12-2019,Diálisis Peritoneal Ambulatoria Continua (DPAC),"""Servicio de Diálisis para pacientesINCLUIR SALUD, cápita CABA""",65000.0,ARS,1.0,mes,,1851228.16,ARS,1851228.16,,MINISTERIO DE SALUD,diaverum argentina s.a,,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/507793
EE-2019-24869368-DGCTFS,17.0,3.0,433/16,gasto,2020-02-07,2020-02-13,01-12-2019,31-12-2019,Traslado,"""Servicio de Diálisis para pacientesINCLUIR SALUD, cápita CABA""",25.88,ARS,,km,,1851228.16,ARS,1851228.16,,MINISTERIO DE SALUD,diaverum argentina s.a,,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/507793
EE-2015-18290437-MGEYA-DGAR,18.0,1.0,433/16,gasto,2020-02-10,2020-02-12,01-08-2019,31-10-2019,mantenimiento ascensores,mantenimiento preventivo de 5 ascensores con atención de urgencias,22000.0,ARS,3.0,mes,66000.0,66000.0,ARS,66000.0,,DIRECCION GENERAL ARBOLADO,thyssenkruppelevadores s.a,30-68307675- 5,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/507515
EX-2019-32864379-GCABA-LOTBA,19.0,1.0,433/16,contratacion menor (OCA),2020-02-10,2020-02-13,,,servicio demantenimiento preventivo mensual de las máquinas de Talleres Gráficos,demantenimiento preventivo mensual de las máquinas de Talleres Gráficos: -Duplicadora Marca Duplo-Modelo DP-L510 - Duplicadora Marca Lanier LDD-345 -Intercaladora/Compaginadora Marca Duplo CD-08),7804.5,ARS,,,,123654.0,ARS,123654.0,,LOTERIA DE LA CIUDAD DE BUENOS AIRES S.E. LOTBA S.E. LEY 5785,rithner porteous & cia s.ac.i.,30-50405893-6,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/507695
EX-2019-32864379-GCABA-LOTBA,19.0,2.0,433/16,contratacion menor (OCA),2020-02-10,2020-02-13,,,servicio demantenimiento preventivo mensual de las máquinas de Talleres Gráficos,Duplicadora Marca Duplo-Modelo DP-L510 Duplicadora Marca Lanier LDD-345 - Intercaladora/Compaginadora Marca Duplo CD-08,30000.0,ARS,,,,123654.0,ARS,123654.0,,LOTERIA DE LA CIUDAD DE BUENOS AIRES S.E. LOTBA S.E. LEY 5785,rithner porteous & cia s.ac.i.,30-50405893-6,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/507695
EE-2020-04892024-MSGC,20.0,1.0,433/16,gasto,2020-02-10,2020-02-13,01-12-2019,31-12-2019,mantenimiento areas verdes,Servicio de Gestión y Mantenimiento de Espacios Verdes,,,,,723282.96,723282.96,ARS,723282.96,"Hospital de Salud Mental ""Dr. Braulio Moyano""",SUBSECRETARÍA ATENCIÓN HOSPITALARIA,logistical s.a,,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/507720
EE-2019-17569749-DGCTFS,22.0,1.0,433/16,gasto,2020-02-10,2020-02-17,01-12-2019,31-12-2019,Residencia para Adultos Mayores,"""Servicio de residencia paraadultos mayores, beneficiarios INCLUIR SALUD, cápita CABA""",23805.0,ARS,,,,892680.0,ARS,3715760.0,,DIRECCIÓN GENERAL ADMINISTRATIVA CONTABLE Y PRESUPUESTO,dama fe s.r.l (geriatrico santaisabel),,https://boletinoficial.buenosaires.gob.ar/normativaba/norma/508027
